epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,59.9797,0.66416,0.8125,1,0.54297,0.000232591,0.000232591,0.000232591
2,117.548,0.34005,0.90625,1,0.41668,0.000424002,0.000424002,0.000424002
3,174.76,0.21841,0.94792,1,0.37343,0.00056829,0.00056829,0.00056829
4,237.439,0.16494,0.96875,1,0.36152,0.000501942,0.000501942,0.000501942
5,301.024,0.11748,0.95312,1,0.35946,0.000431256,0.000431256,0.000431256
6,361.346,0.10664,0.96875,1,0.35502,0.00036057,0.00036057,0.00036057
7,419.44,0.12801,0.96875,1,0.34861,0.000289884,0.000289884,0.000289884
8,477.442,0.08481,0.96875,1,0.34907,0.000219198,0.000219198,0.000219198
9,532.775,0.08792,0.97917,1,0.34093,0.000148512,0.000148512,0.000148512
10,588.987,0.08038,0.98438,1,0.33766,7.7826e-05,7.7826e-05,7.7826e-05
