epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.2272,2.14359,3.94564,1.54924,0.00389,0.49722,0.12542,0.05584,1.5876,3.99795,1.21871,0.000463102,0.000463102,0.000463102
2,30.2694,1.53059,2.71998,1.1957,0.59385,0.24994,0.27801,0.13139,1.46606,3.35269,1.13887,0.000902234,0.000902234,0.000902234
3,40.5867,1.51747,2.26652,1.21439,0.65226,0.46259,0.53681,0.27909,1.53439,2.6056,1.22694,0.00130364,0.00130364,0.00130364
4,50.9219,1.46471,2.05143,1.20732,0.4573,0.60556,0.55282,0.30945,1.4251,2.31533,1.17111,0.00125923,0.00125923,0.00125923
5,61.4649,1.43931,1.81355,1.16904,0.66134,0.63065,0.70683,0.43311,1.41495,2.12019,1.11443,0.00120265,0.00120265,0.00120265
6,71.8427,1.37393,1.6334,1.13437,0.71763,0.75459,0.8217,0.52503,1.43147,1.99749,1.14254,0.00114606,0.00114606,0.00114606
7,82.1184,1.29293,1.57644,1.10507,0.89332,0.73718,0.86266,0.55434,1.28178,1.69138,1.08783,0.00108947,0.00108947,0.00108947
8,92.5868,1.25332,1.41683,1.08672,0.6464,0.86426,0.81778,0.4928,1.26654,1.63735,1.05102,0.00103288,0.00103288,0.00103288
9,102.878,1.26821,1.41265,1.09209,0.87013,0.81167,0.90577,0.56098,1.20982,1.36584,1.05616,0.000976293,0.000976293,0.000976293
10,113.222,1.1834,1.30709,1.05855,0.95039,0.79966,0.92753,0.58233,1.1301,1.34071,1.03441,0.000919704,0.000919704,0.000919704
11,124.002,1.23704,1.29711,1.06954,0.92381,0.80882,0.93963,0.56569,1.28012,1.36878,1.02764,0.000863116,0.000863116,0.000863116
12,134.755,1.20868,1.25936,1.05074,0.8614,0.89069,0.93468,0.60897,1.08065,1.1865,0.98661,0.000806528,0.000806528,0.000806528
13,145.527,1.15,1.19021,1.04696,0.89317,0.86944,0.9379,0.67303,1.05801,1.15281,0.98442,0.000749939,0.000749939,0.000749939
14,156.514,1.14765,1.16595,1.03568,0.82428,0.84957,0.9292,0.6372,1.1622,1.25721,1.02432,0.000693351,0.000693351,0.000693351
15,170.959,1.14643,1.14556,1.0405,0.85483,0.85621,0.87219,0.60106,1.08928,1.30522,1.00478,0.000636762,0.000636762,0.000636762
16,218.737,1.09907,1.25363,1.04052,0.9013,0.81707,0.89234,0.57133,1.09886,1.21819,0.96725,0.000580174,0.000580174,0.000580174
17,228.982,1.06597,1.22794,1.04315,0.95183,0.81286,0.9131,0.64155,1.10638,1.12157,0.98026,0.000523586,0.000523586,0.000523586
18,239.274,1.06479,1.19047,1.02635,0.9349,0.85556,0.92494,0.58332,1.12216,1.14337,1.01771,0.000466997,0.000466997,0.000466997
19,249.566,1.06273,1.11307,1.00316,0.89037,0.82519,0.91389,0.60812,1.12331,1.08347,0.97082,0.000410409,0.000410409,0.000410409
20,259.956,1.03998,1.07682,0.99725,0.78282,0.92006,0.93426,0.65711,1.07438,1.07344,0.97768,0.00035382,0.00035382,0.00035382
21,270.3,1.0372,1.09026,1.01021,0.89933,0.86678,0.94733,0.68312,1.03335,1.0092,0.97869,0.000297232,0.000297232,0.000297232
22,280.723,1.03254,1.06966,0.99199,0.8037,0.93986,0.97003,0.66051,1.04219,0.99109,0.99865,0.000240644,0.000240644,0.000240644
23,291.062,1.00623,1.03593,0.9908,0.9279,0.8855,0.95224,0.64117,1.02254,0.98328,0.97702,0.000184055,0.000184055,0.000184055
24,301.544,0.99361,1.01375,0.97897,0.88028,0.93882,0.95852,0.67567,1.04337,0.95944,0.96958,0.000127467,0.000127467,0.000127467
25,311.887,0.93458,0.97749,0.97885,0.90968,0.88476,0.94315,0.66203,1.04195,0.94808,0.9742,7.08784e-05,7.08784e-05,7.08784e-05
